Date,Return
1/4/95,0.377047179
1/5/95,-0.06751268
1/6/95,0.072749525
1/9/95,0.045006061
1/10/95,0.185128904
1/11/95,-0.003446853
1/12/95,-0.005186087
1/13/95,0.956818307
1/16/95,0.732204667
1/17/95,0.146052442
1/18/95,-0.069524658
1/19/95,-0.588869598
1/20/95,-0.464317353
1/23/95,0.228091507
1/24/95,0.018830445
1/25/95,0.354137913
1/26/95,0.192629255
1/27/95,0.444096871
1/30/95,-0.38114274
1/31/95,0.43531457
2/1/95,0.001694602
2/2/95,0.521451939
2/3/95,1.246362025
2/6/95,0.570590882
2/7/95,-0.057889374
2/8/95,0.087712547
2/9/95,-0.185202735
2/10/95,0.283294459
2/13/95,0.0627765
2/14/95,0.206369377
2/15/95,0.421773742
2/16/95,0.141092166
2/17/95,-0.650419733
2/21/95,0.16490494
2/22/95,0.495548334
2/23/95,0.401364973
2/24/95,0.249649846
2/27/95,-0.859379686
2/28/95,0.743700591
3/1/95,-0.327549731
3/2/95,-0.103002581
3/3/95,0.080193449
3/6/95,0.060506132
3/7/95,-0.717475123
3/8/95,0.212359262
3/9/95,0.05584457
3/10/95,1.328171792
3/13/95,0.105308488
3/14/95,0.582671545
3/15/95,-0.199531736
3/16/95,0.725560671
3/17/95,0.022403034
3/20/95,0.128038414
3/21/95,-0.215781339
3/22/95,0.121737949
3/23/95,0.055990625
3/24/95,1.012138801
3/27/95,0.489129555
3/28/95,0.140187763
3/29/95,-0.154152936
3/30/95,-0.171718502
3/31/95,-0.298274115
4/3/95,0.248513197
4/4/95,0.701056776
4/5/95,0.08466657
4/6/95,0.100266955
4/7/95,0.07668675
4/10/95,0.120420993
4/11/95,-0.292090866
4/12/95,0.332110617
4/13/95,0.407517239
4/17/95,-0.598696247
4/18/95,-0.147045155
4/19/95,-0.086176752
4/20/95,0.072134291
4/21/95,0.634605366
4/24/95,0.885962115
4/25/95,-0.141988025
4/26/95,0.117464952
4/27/95,0.172900098
4/28/95,0.226536079
5/1/95,-0.063037857
5/2/95,0.132315714
5/3/95,1.095558461
5/4/95,0.04255236
5/5/95,-0.072921063
5/8/95,0.772344251
5/9/95,-0.036207416
5/10/95,0.161490986
5/11/95,0.016572892
5/12/95,0.229001292
5/15/95,0.443414934
5/16/95,0.098773629
5/17/95,-0.21080222
5/18/95,-1.414274927
5/19/95,-0.02887393
5/22/95,0.86950387
5/23/95,0.947899684
5/24/95,0.013439674
5/25/95,0.022384357
5/26/95,-0.917768127
5/30/95,-0.009036373
5/31/95,1.878318655
6/1/95,0.02514105
6/2/95,-0.167029541
6/5/95,0.580394264
6/6/95,0.005885003
6/7/95,-0.451896942
6/8/95,-0.133073538
6/9/95,-0.827673918
6/12/95,0.561363104
6/13/95,1.016980673
6/14/95,0.085245223
6/15/95,0.121883877
6/16/95,0.504532423
6/19/95,1.005459811
6/20/95,-0.043350139
6/21/95,-0.182113037
6/22/95,1.309022379
6/23/95,-0.244418048
6/26/95,-1.014436636
6/27/95,-0.312667755
6/28/95,0.466112277
6/29/95,-0.157543392
6/30/95,0.183847571
7/3/95,0.434928543
7/5/95,0.047470218
7/6/95,1.255380616
7/7/95,0.445936026
7/10/95,0.148454354
7/11/95,-0.430588557
7/12/95,1.108771931
7/13/95,0.022442014
7/14/95,-0.197688638
7/17/95,0.505729595
7/18/95,-0.747786136
7/19/95,-1.329390694
7/20/95,0.466705695
7/21/95,0.017046439
7/24/95,0.542576105
7/25/95,0.80382034
7/26/95,0.096698526
7/27/95,0.658034582
7/28/95,-0.400584874
7/31/95,-0.146631892
8/1/95,-0.429359726
